geoName,geoCode,Cactus,Tomorrowland,Blanket,Eiffel Tower,Spaghetti,Picasso,Whiskey,League of Legends,Elephant,Macbook,Vietnam War,Downton Abbey,Seinfeld,The Beatles,Orange Juice,NFL,Miles Davis,Koala,Samosa,Rubik's Cube,Romania,Microwave,Kleenex,Samsung,Pinterest,Bacon,Inception
Alabama,AL,0.022988505747126426,0.2413793103448276,0.4745762711864406,0.10000000000000002,0.6428571428571429,0.0,0.04347826086956526,0.2461538461538462,0.06666666666666672,0.33928571428571425,0.3749999999999999,0.2692307692307693,0.1333333333333333,0.07547169811320761,0.4250000000000001,0.0,0.2,0.15999999999999992,0.25555555555555554,0.32812499999999994,0.1343283582089552,0.37931034482758613,0.28235294117647064,0.5652173913043479,0.7058823529411764,0.40816326530612235,0.2537313432835821
Alaska,AK,0.06896551724137931,0.4022988505747126,0.5932203389830508,0.13749999999999998,0.5535714285714285,0.372093023255814,0.47826086956521735,0.7230769230769231,0.6000000000000001,0.5357142857142857,0.47916666666666663,0.5576923076923077,0.36000000000000004,0.13207547169811332,0.15000000000000013,0.5079365079365079,0.0,0.7,0.2333333333333333,0.828125,0.38805970149253727,0.44827586206896547,0.24705882352941178,1.0,0.4509803921568627,0.9591836734693877,0.05970149253731341
Arizona,AZ,1.0,0.528735632183908,0.3559322033898305,0.1625,0.21428571428571436,0.4186046511627908,0.28260869565217395,0.4,0.5,0.35714285714285715,0.47916666666666663,0.30769230769230776,0.37333333333333335,0.4716981132075471,0.4500000000000001,0.6190476190476191,0.49,0.43999999999999995,0.4777777777777778,0.43750000000000006,0.582089552238806,0.44827586206896547,0.43529411764705883,0.782608695652174,0.3333333333333334,0.36734693877551006,0.3582089552238805
Arkansas,AR,0.06896551724137931,0.2413793103448276,0.4745762711864406,0.12499999999999997,0.9107142857142857,0.4186046511627908,0.1739130434782608,0.3230769230769232,0.4333333333333333,0.19642857142857148,0.4583333333333333,0.19230769230769226,0.20000000000000004,0.2075471698113207,0.5499999999999999,0.1587301587301587,0.0,0.41999999999999993,0.3444444444444444,0.59375,0.10447761194029853,0.4137931034482758,0.24705882352941178,0.6739130434782608,0.7843137254901961,0.5510204081632654,0.32835820895522394
California,CA,0.13793103448275862,1.0,0.30508474576271183,0.27499999999999997,0.16071428571428575,1.0,0.3043478260869566,0.7846153846153846,0.5,0.9464285714285714,0.3541666666666665,0.17307692307692302,0.49333333333333335,0.5471698113207547,0.4250000000000001,0.3492063492063492,0.69,0.7,0.7444444444444445,0.43750000000000006,0.38805970149253727,0.06896551724137936,0.29411764705882354,0.6739130434782608,0.2549019607843137,0.06122448979591842,0.746268656716418
Colorado,CO,0.1149425287356322,0.7011494252873564,0.5423728813559321,0.19999999999999996,0.2678571428571428,0.44186046511627913,0.8478260869565218,0.2923076923076924,0.9333333333333332,0.5357142857142857,0.5416666666666667,0.3653846153846155,0.52,0.5094339622641509,0.22499999999999992,0.5555555555555555,0.52,0.72,0.38888888888888884,0.7031250000000001,0.32835820895522394,0.48275862068965514,0.388235294117647,0.6304347826086956,0.41176470588235287,0.5102040816326531,0.6865671641791046
Connecticut,CT,0.034482758620689655,0.4367816091954023,0.45762711864406785,0.19999999999999996,0.01785714285714287,0.883720930232558,0.08695652173913028,0.3230769230769232,0.6333333333333334,0.5892857142857143,0.6249999999999999,0.44230769230769224,0.7200000000000001,0.660377358490566,0.5000000000000001,0.4285714285714286,0.58,0.5,0.5888888888888889,0.390625,0.3731343283582089,0.5517241379310345,0.25882352941176473,0.41304347826086946,0.23529411764705882,0.3061224489795919,0.7313432835820896
Delaware,DE,0.011494252873563229,0.4482758620689655,0.44067796610169496,0.13749999999999998,0.28571428571428564,0.44186046511627913,0.1086956521739129,0.2615384615384616,0.2333333333333335,0.4285714285714286,0.22916666666666666,0.5576923076923077,0.6,0.39622641509433976,1.0,1.0,0.0,0.5800000000000001,0.5555555555555556,0.2968750000000001,0.2537313432835821,0.8620689655172413,0.09411764705882356,0.5434782608695653,0.2549019607843137,0.36734693877551006,0.40298507462686567
District of Columbia,DC,0.0,0.5172413793103448,0.0,0.15,0.03571428571428574,0.44186046511627913,0.3695652173913042,0.0,0.10000000000000007,0.7857142857142857,0.5208333333333334,0.423076923076923,0.5733333333333334,0.13207547169811332,0.0,0.22222222222222224,0.94,0.24,1.0,0.0,1.0,0.0,0.22352941176470592,0.0,0.0,0.0,0.746268656716418
Florida,FL,0.04597701149425288,0.7816091954022989,0.10169491525423727,0.22499999999999998,0.7678571428571428,0.627906976744186,0.08695652173913028,0.2923076923076924,0.1666666666666668,0.28571428571428564,0.041666666666666706,0.2692307692307693,0.2933333333333333,0.22641509433962262,0.7000000000000001,0.3492063492063492,0.38,0.30000000000000004,0.3777777777777777,0.203125,0.3134328358208956,0.3448275862068968,0.2,0.782608695652174,0.13725490196078444,0.14285714285714277,0.3731343283582089
Georgia,GA,0.034482758620689655,0.3563218390804598,0.27118644067796605,0.15,0.375,0.39534883720930236,0.0,0.2153846153846154,0.20000000000000015,0.39285714285714285,0.2083333333333333,0.2692307692307693,0.28,0.07547169811320761,0.6,0.23809523809523814,0.54,0.3999999999999999,0.5222222222222221,0.3125000000000001,0.28358208955223885,0.27586206896551746,0.24705882352941178,0.5434782608695653,0.3921568627450979,0.18367346938775503,0.3582089552238805
Hawaii,HI,0.022988505747126426,0.735632183908046,0.03389830508474579,0.11249999999999996,0.5357142857142857,0.25581395348837227,0.47826086956521735,1.0,0.3000000000000002,1.0,0.25,0.0,0.16,0.24528301886792453,0.37500000000000006,0.6190476190476191,0.0,1.0,0.4777777777777778,0.59375,0.1343283582089552,0.6206896551724139,0.2,0.7391304347826086,0.19607843137254896,0.20408163265306117,0.34328358208955234
Idaho,ID,0.13793103448275862,0.37931034482758624,0.7796610169491525,0.2375,0.4999999999999999,0.39534883720930236,0.4347826086956521,0.523076923076923,0.9333333333333332,0.16071428571428575,0.3749999999999999,0.423076923076923,0.5066666666666667,0.43396226415094336,0.20000000000000018,0.5238095238095237,0.0,0.76,0.3777777777777777,0.6718750000000001,0.2985074626865672,0.6206896551724139,0.29411764705882354,0.8913043478260868,1.0,0.8775510204081631,0.5970149253731344
Illinois,IL,0.04597701149425288,0.5977011494252874,0.4745762711864406,0.19999999999999996,0.1785714285714286,0.6511627906976744,0.41304347826086946,0.3230769230769232,0.7000000000000002,0.33928571428571425,0.3541666666666665,0.2692307692307693,0.5466666666666667,0.5849056603773586,0.5250000000000001,0.3174603174603174,0.76,0.54,0.6666666666666666,0.375,0.5373134328358209,0.37931034482758613,0.4470588235294118,0.4347826086956521,0.2549019607843137,0.3469387755102042,0.5522388059701492
